# POINT_X,POINT_Y,Min_temp_Jul_F,Max_temp_jul_F,Rainfall_jul_inch
214196.8188,700890.0521,48.43,61.29,1.84
223196.8188,700890.0521,49.17,62.11,1.60
312196.8188,699890.0521,49.96,64.53,0.78
299196.8188,698890.0521,48.70,64.53,1.01
212196.8188,697890.0521,49.17,61.29,1.60
189196.8188,696890.0521,49.50,61.29,1.64
278196.8188,695890.0521,48.70,65.57,1.01
297196.8188,695890.0521,50.61,64.53,0.81
275196.8188,694890.0521,49.10,65.57,1.07
178196.8188,693890.0521,49.50,61.99,1.64
197196.8188,693890.0521,49.50,61.29,1.50
375196.8188,691890.0521,50.14,-9999.00,0.75
279196.8188,690890.0521,50.61,65.57,0.81
257196.8188,689890.0521,49.10,64.08,1.07
276196.8188,689890.0521,49.48,65.57,0.99
179196.8188,688890.0521,49.50,61.99,1.50
249196.8188,687890.0521,49.15,64.08,1.37
357196.8188,686890.0521,50.14,63.09,0.75
257196.8188,684890.0521,49.48,64.08,0.99
350196.8188,684890.0521,49.82,63.09,0.74
327196.8188,683890.0521,49.96,63.72,0.78
231196.8188,682890.0521,49.15,64.53,1.37
250196.8188,682890.0521,50.52,64.08,1.06
227196.8188,681890.0521,49.17,64.53,1.60
149196.8188,680890.0521,50.02,-9999.00,1.29
335196.8188,680890.0521,49.82,63.72,0.74
235196.8188,678890.0521,50.52,64.53,1.06
309196.8188,678890.0521,49.96,64.00,0.78
328196.8188,678890.0521,49.24,63.72,0.84
305196.8188,677890.0521,50.61,64.00,0.81
209196.8188,676890.0521,49.17,62.42,1.60
228196.8188,676890.0521,50.54,64.53,1.34
131196.8188,675890.0521,50.02,61.61,1.29
202196.8188,674890.0521,49.50,62.42,1.50
310196.8188,673890.0521,49.24,64.00,0.84
287196.8188,672890.0521,50.61,63.27,0.81
306196.8188,672890.0521,47.89,64.00,0.87
210196.8188,671890.0521,50.54,62.42,1.34
187196.8188,670890.0521,49.50,62.19,1.50
206196.8188,670890.0521,50.54,62.42,1.33
280196.8188,670890.0521,49.48,63.27,0.99
288196.8188,667890.0521,47.89,63.27,0.87
361196.8188,667890.0521,50.14,63.81,0.75
380196.8188,667890.0521,49.01,-9999.00,0.76
358196.8188,666890.0521,49.82,63.81,0.74
188196.8188,665890.0521,50.54,62.19,1.33
262196.8188,665890.0521,49.48,64.33,0.99
281196.8188,665890.0521,49.44,63.27,0.86
258196.8188,664890.0521,50.52,64.33,1.06
180196.8188,663890.0521,50.25,62.19,1.25
362196.8188,662890.0521,49.01,63.81,0.76
154196.8188,661890.0521,50.02,61.84,1.29
340196.8188,661890.0521,49.82,63.10,0.74
359196.8188,661890.0521,48.09,63.81,0.81
262196.8188,660890.0521,49.44,64.33,0.86
240196.8188,659890.0521,50.52,63.52,1.06
259196.8188,659890.0521,49.39,64.33,1.13
332196.8188,659890.0521,49.24,63.10,0.84
162196.8188,658890.0521,50.25,61.84,1.25
232196.8188,657890.0521,50.54,63.52,1.34
340196.8188,656890.0521,48.09,63.10,0.81
240196.8188,654890.0521,49.39,63.52,1.13
314196.8188,654890.0521,49.24,61.81,0.84
333196.8188,654890.0521,47.34,63.10,0.93
311196.8188,653890.0521,47.89,61.81,0.87
214196.8188,652890.0521,50.54,64.24,1.34
233196.8188,652890.0521,51.37,63.52,1.03
210196.8188,651890.0521,50.54,64.24,1.33
411196.8188,650890.0521,49.68,-9999.00,0.70
315196.8188,649890.0521,47.34,61.81,0.93
388196.8188,649890.0521,49.01,64.44,0.76
218196.8188,648890.0521,51.37,64.24,1.03
292196.8188,648890.0521,47.89,61.90,0.87
311196.8188,648890.0521,47.08,61.81,0.95
192196.8188,646890.0521,50.54,61.21,1.33
211196.8188,646890.0521,49.71,64.24,1.41
285196.8188,646890.0521,49.44,61.90,0.86
393196.8188,645890.0521,49.68,64.44,0.70
185196.8188,644890.0521,50.25,61.21,1.25
370196.8188,644890.0521,49.01,64.76,0.76
389196.8188,644890.0521,49.32,64.44,0.81
293196.8188,643890.0521,47.08,61.90,0.95
270196.8188,642890.0521,49.44,62.13,0.86
289196.8188,642890.0521,47.25,61.90,1.03
363196.8188,642890.0521,48.09,64.76,0.81
193196.8188,641890.0521,49.71,61.21,1.41
170196.8188,640890.0521,50.25,61.07,1.25
189196.8188,640890.0521,50.67,61.21,1.22
263196.8188,640890.0521,49.39,62.13,1.13
371196.8188,639890.0521,49.32,64.76,0.81
271196.8188,637890.0521,47.25,62.13,1.03
345196.8188,637890.0521,48.09,65.01,0.81
364196.8188,637890.0521,48.70,64.76,0.81
340196.8188,636890.0521,47.34,65.01,0.93
244196.8188,635890.0521,49.39,62.87,1.13
264196.8188,635890.0521,48.54,62.13,1.06
167196.8188,634890.0521,50.67,61.07,1.22
240196.8188,634890.0521,51.37,62.87,1.03
